Date,T_Bill,Wilshire_5000,Russell_1000  ,Russell_2000_Value ,Russell_2000_Growth  ,Barclays_US_Bonds,Barclays_IG_Bonds ,Barclays_HY_Bonds,GSCI_Precious_Metals,EAFE_Intl_Index,FTSE_REIT_Index
20040227,0.0623,1.4551,1.38495,1.93641,-0.15473,0.95305,1.24537,-0.2509,-0.60756,2.32547,2.1967
20040331,0.0844,-1.07118,-1.36423,1.38287,0.46743,0.6957,0.9442,0.67927,8.86616,0.60188,5.59754
20040430,0.0795,-2.12643,-1.8077,-5.17146,-5.0198,-2.23497,-3.14403,-0.68033,-11.03484,-2.17728,-15.26394
20040528,0.0603,1.38131,1.44241,1.20711,1.98916,-0.32048,-0.7236,-1.694,1.59375,0.43306,7.06221
20040630,0.0817,2.14106,1.80275,5.0789,3.32741,0.25391,0.4414,1.43407,-0.84613,2.23167,2.99258
20040730,0.0919,-3.72551,-3.51189,-4.59706,-8.97599,0.72444,1.24421,1.35963,0.83104,-3.23155,0.04236
20040831,0.1116,0.34101,0.49336,0.98093,-2.15285,1.48417,2.37766,1.96147,4.77367,0.46428,7.88211
20040930,0.1185,1.61763,1.26218,3.95556,5.52948,0.03942,0.61572,1.45211,2.06955,2.62827,0.1938
20041029,0.1129,1.61568,1.61301,1.55349,2.42983,0.61193,0.9763,1.80649,2.60345,3.41602,4.54615
20041130,0.1541,4.65533,4.28135,8.87367,8.45259,-0.9303,-1.01736,1.20566,5.33188,6.85902,4.63738
20041231,0.1672,3.60978,3.62076,2.38687,3.59406,0.54374,1.36819,1.49077,-4.01066,4.39167,4.82388
20050131,0.1661,-2.62514,-2.51971,-3.86832,-4.50496,0.12838,0.79672,-0.13,-3.32896,-1.8273,-7.91175
20050228,0.1641,2.19463,2.24879,1.98561,1.37249,-0.55773,-0.59594,1.47078,3.96967,4.34373,2.22483
20050331,0.2123,-1.7443,-1.583,-2.05874,-3.75089,-0.2482,-1.32527,-2.9079,-1.91815,-2.47352,-1.83151
20050429,0.2072,-2.2073,-1.84411,-5.15842,-6.36437,1.16894,1.29685,-0.97499,0.84801,-2.23834,4.67867
20050531,0.2395,3.78627,3.54475,6.09916,7.05066,0.79691,1.37481,1.77573,-3.09773,0.15298,3.5755
20050630,0.2263,0.81285,0.40851,4.42203,3.23326,0.32638,0.81996,1.96235,3.49349,1.36694,4.69976
20050729,0.2383,4.13601,3.88924,5.68998,6.98992,-0.85199,-0.98734,1.74845,-0.9785,3.07191,6.56737
20050831,0.292,-0.90024,-0.86544,-2.29586,-1.40911,1.11018,1.53041,0.19079,0.09932,2.55572,-4.24619
20050930,0.2848,0.8019,0.92928,-0.16515,0.79243,-0.76875,-1.61418,-0.99755,8.29437,4.47403,-0.10066
20051031,0.2728,-1.84405,-1.75401,-2.51178,-3.69552,-0.42069,-1.15461,-0.69806,-0.62273,-2.91364,-2.73417
20051130,0.3045,3.99192,3.79815,4.05656,5.66148,0.40972,0.58769,0.5221,6.63979,2.47273,4.33826
20051230,0.316,0.13648,0.14188,-0.76766,-0.1489,0.60571,1.01126,0.85884,4.59834,4.65977,-0.22065
20060131,0.3488,3.55962,2.80369,8.26922,9.64598,-0.00789,-0.21039,1.5955,10.48473,6.1469,6.99824
20060228,0.3322,-0.02586,0.22368,-0.00679,-0.53292,0.01815,0.45169,0.66753,-1.63826,-0.20481,1.44396
20060331,0.3642,1.84424,1.41566,4.84346,4.86022,-0.3085,-1.40941,0.59877,5.02114,3.34486,5.00394
20060428,0.3559,1.11089,1.20002,0.26743,-0.28869,0.09418,-0.34998,0.61611,12.6407,4.84991,-3.1029
20060531,0.4195,-3.20666,-2.95286,-4.14084,-7.0375,0.03005,-0.16866,-0.01344,-2.23615,-3.76316,-2.78324
20060630,0.397,0.17687,0.13061,1.22843,0.06032,0.18022,0.12588,-0.35083,-5.6547,0.03668,4.99134
20060731,0.3976,-0.11706,0.21952,-1.38686,-5.19471,1.04705,1.461,0.97891,3.43809,1.00135,3.01329
20060831,0.4283,2.34056,2.39709,2.98903,2.92905,1.12366,1.86322,1.62178,0.1325,2.77686,3.42112
20060929,0.4047,2.19662,2.37332,0.97607,0.67677,0.72431,1.14537,1.41778,-5.197,0.174,1.97973
20061031,0.4076,3.62603,3.39563,5.08969,6.47981,0.47378,0.80895,1.36024,1.56419,3.89831,6.31886
20061130,0.4243,2.25902,2.13214,2.8515,2.39411,0.79888,1.46615,1.68039,7.8332,3.01625,4.45629
20061229,0.4036,1.16658,1.28127,0.87116,-0.23801,-0.38151,-0.90968,1.09793,-2.69495,3.14539,-1.22034
20070131,0.4328,1.90038,1.92595,1.49795,1.86054,0.01444,0.00749,1.11655,2.93105,0.68434,7.83296
20070228,0.3837,-1.57978,-1.72051,-1.22811,-0.31632,1.25208,2.05947,1.39846,2.83771,0.82146,-2.91538
20070330,0.4257,1.10609,1.03813,1.20684,0.92357,0.25812,-0.57331,0.10592,-1.59143,2.59636,-2.50028
20070430,0.4348,4.00319,4.20415,1.03769,2.62178,0.44157,0.73354,1.29946,2.3217,4.535,0.10908
